account_id;district_id;frequency;date
2243;25;POPLATEK MESICNE;960124
1616;22;POPLATEK MESICNE;970207
3543;74;POPLATEK MESICNE;960721
2717;74;POPLATEK MESICNE;960725
327;54;POPLATEK MESICNE;930602
695;5;POPLATEK MESICNE;960421
1075;35;POPLATEK MESICNE;950713
3545;51;POPLATEK MESICNE;930217
1024;19;POPLATEK MESICNE;970502
480;23;POPLATEK MESICNE;970121
1334;74;POPLATEK MESICNE;930514
3727;66;POPLATEK MESICNE;960119
2875;19;POPLATEK MESICNE;961224
3142;2;POPLATEK MESICNE;940914
1205;73;POPLATEK MESICNE;941008
2405;64;POPLATEK MESICNE;970227
1589;37;POPLATEK MESICNE;930807
5196;13;POPLATEK TYDNE;970629
1924;66;POPLATEK MESICNE;960516
808;69;POPLATEK MESICNE;950613
1763;73;POPLATEK MESICNE;960306
560;36;POPLATEK MESICNE;950820
9677;8;POPLATEK MESICNE;961013
351;50;POPLATEK MESICNE;970217
679;22;POPLATEK MESICNE;970712
