disp_id;client_id;account_id;type
399;399;327;OWNER
429;429;351;OWNER
578;578;480;OWNER
673;673;560;OWNER
815;815;679;OWNER
833;833;695;OWNER
968;968;808;OWNER
1229;1229;1024;OWNER
1290;1290;1075;OWNER
1454;1454;1205;OWNER
1455;1455;1205;DISPONENT
1615;1615;1334;OWNER
1925;1925;1589;OWNER
1926;1926;1589;DISPONENT
1960;1960;1616;OWNER
2137;2137;1763;OWNER
2335;2335;1924;OWNER
2716;2716;2243;OWNER
2904;2904;2405;OWNER
2905;2905;2405;DISPONENT
3281;3281;2717;OWNER
3475;3475;2875;OWNER
3799;3799;3142;OWNER
4276;4276;3543;OWNER
4277;4277;3543;DISPONENT
4279;4279;3545;OWNER
4495;4495;3727;OWNER
6275;6275;5196;OWNER
11603;11911;9677;OWNER
