geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
1013,-23.546923208436723,-46.6342636964915,sao paulo,SP
1013,-23.547325128224376,-46.63418378613892,sao paulo,SP
1007,-23.550392524842728,-46.63730164071784,sao paulo,SP
1013,-23.5471192492354,-46.634232699405686,sao paulo,SP
1026,-23.539494799586286,-46.63284391414975,são paulo,SP
1031,-23.536864121011018,-46.63349313820771,sao paulo,SP
1031,-23.537304315614183,-46.63386243849112,sao paulo,SP
1008,-23.54425493154535,-46.634639135589296,sao paulo,SP
1026,-23.53984025062037,-46.6302639919499,sao paulo,SP
1008,-23.545341492094146,-46.63558668567147,sao paulo,SP
1026,-23.53984025062037,-46.6302639919499,sao paulo,SP
1031,-23.542520789115148,-46.63533516134283,sao paulo,SP
1007,-23.549610740492827,-46.63835065445208,sao paulo,SP
1007,-23.548339277829037,-46.63800653788448,sao paulo,SP
1008,-23.545450466558925,-46.63565673674192,sao paulo,SP
1221,-23.54601532944774,-46.64900196003804,sao paulo,SP
1228,-23.54839279655493,-46.659018341392965,sao paulo,SP
1221,-23.54655474271452,-46.64902242728947,sao paulo,SP
1228,-23.538443874862704,-46.654753205811005,sao paulo,SP
1228,-23.53736190148112,-46.65445004039496,sao paulo,SP
1221,-23.542736521784317,-46.64588470191586,sao paulo,SP
1212,-23.537511255832708,-46.63705730743676,são paulo,SP
1233,-23.540299470713855,-46.66278360519932,sao paulo,SP
1233,-23.540299470713855,-46.66278360519932,sao paulo,SP
1233,-23.53995686444827,-46.66359382283071,são paulo,SP
1212,-23.53708367277396,-46.639449309048416,sao paulo,SP
1212,-23.537511255832708,-46.63705730743676,são paulo,SP
1314,-23.550271219805023,-46.641530430203645,sao paulo,SP
1314,-23.55291235720467,-46.64737305981301,sao paulo,SP
1314,-23.55075711434592,-46.64268271870849,são paulo,SP
1424,-23.56816235942637,-46.66117892867444,sao paulo,SP
1424,-23.56420121732353,-46.66559156356392,sao paulo,SP
1424,-23.57016486511052,-46.65912108811819,sao paulo,SP
1511,-23.555682314184303,-46.63309991286275,sao paulo,SP
1539,-23.573782561198005,-46.62058066708981,sao paulo,SP
1522,-23.55916467499565,-46.61546691825843,sao paulo,SP
1551,-23.576649380518187,-46.61216232569684,sao paulo,SP
1522,-23.56055002663175,-46.61664018206479,sao paulo,SP
1551,-23.570797777684803,-46.61199248265909,sao paulo,SP
1522,-23.559013992121344,-46.6153654505723,sao paulo,SP
1511,-23.563943696087478,-46.63251002164008,sao paulo,SP
1511,-23.55918090452421,-46.63284213099433,sao paulo,SP
1524,-23.5670455434244,-46.61611199999999,sao paulo,SP
1512,-23.553644898695826,-46.63261889578163,sao paulo,SP
1551,-23.56851210214089,-46.61300090120599,sao paulo,SP
1512,-23.553701371631384,-46.62961645213219,sao paulo,SP
1524,-23.56722896808813,-46.61541736011886,sao paulo,SP
1539,-23.571578567026386,-46.61990256064975,sao paulo,SP
1539,-23.569779583126543,-46.62077363390852,sao paulo,SP
1512,-23.554043402995,-46.62898801333021,sao paulo,SP
1524,-23.56722896808813,-46.61541736011886,sao paulo,SP
2030,-23.504769581649203,-46.62470303231384,sao paulo,SP
2016,-23.50097763469062,-46.62712333406575,sao paulo,SP
2030,-23.50154661226844,-46.6245530471753,sao paulo,SP
2041,-23.49010232139766,-46.61972998972821,sao paulo,SP
2016,-23.501207575891478,-46.631722461754514,sao paulo,SP
2033,-23.50215379349651,-46.61688101249347,sao paulo,SP
2041,-23.492054188458127,-46.61813615451749,sao paulo,SP
2016,-23.50119168899124,-46.63057715856841,sao paulo,SP
2033,-23.49597441771018,-46.61076190313923,sao paulo,SP
2041,-23.487873212880128,-46.61990224187779,são paulo,SP
2033,-23.50212829172067,-46.61625917197626,sao paulo,SP
2028,-23.50751845268047,-46.6174707485429,sao paulo,SP
2028,-23.509644589167983,-46.619371445839946,sao paulo,SP
2030,-23.504398054538573,-46.624627022882166,sao paulo,SP
2028,-23.509644589167983,-46.619371445839946,sao paulo,SP
2258,-23.47623536441803,-46.58210664723873,sao paulo,SP
2258,-23.477057444630383,-46.58387400000001,sao paulo,SP
2258,-23.477057444630383,-46.58387400000001,sao paulo,SP
2350,-23.459346031363605,-46.60929309103239,sao paulo,SP
2310,-23.4719444074384,-46.59864459256161,sao paulo,SP
2310,-23.47266471135092,-46.59923598903572,sao paulo,SP
2350,-23.456285528997668,-46.59099294754458,são paulo,SP
2310,-23.472766844018693,-46.60217807216228,sao paulo,SP
2350,-23.4592650313636,-46.60929203274859,sao paulo,SP
2408,-23.48192669608748,-46.62646540521669,sao paulo,SP
2408,-23.483251655288807,-46.628026831669445,sao paulo,SP
2408,-23.483001671748728,-46.62649175190826,sao paulo,SP
2537,-23.49266694338963,-46.649278230509495,sao paulo,SP
2537,-23.49269727560733,-46.654851038028696,sao paulo,SP
2537,-23.49047730336426,-46.653603710658416,sao paulo,SP
2613,-23.472582799613345,-46.66107383097695,sao paulo,SP
2613,-23.47061604302037,-46.66220656341969,sao paulo,SP
2613,-23.471243778809985,-46.66149969109581,sao paulo,SP
2842,-23.473527475157265,-46.68753138481736,sao paulo,SP
2842,-23.473527475157265,-46.68753138481736,sao paulo,SP
2859,-23.44337350375091,-46.70672341326679,são paulo,SP
2859,-23.44306691199995,-46.70817499999998,são paulo,SP
2859,-23.44242077185642,-46.70998686150384,sao paulo,SP
2842,-23.475711635581973,-46.68930687829649,sao paulo,SP
2989,-23.429807053203387,-46.7211738556802,sao paulo,SP
2972,-23.48029674271453,-46.71122495337295,sao paulo,SP
2989,-23.430830091869108,-46.721775719401,sao paulo,SP
2989,-23.43688878934157,-46.720828330284455,sao paulo,SP
2972,-23.48275530391252,-46.71030280974091,são paulo,SP
2972,-23.48038455314792,-46.71207176019965,sao paulo,SP
3088,-23.52731184179699,-46.56137431473256,sao paulo,SP
3025,-23.53489030252754,-46.60945369747245,sao paulo,SP
3088,-23.52731184179699,-46.56137431473256,sao paulo,SP
3029,-23.528716250620374,-46.62026515958797,sao paulo,SP
3071,-23.533721612268447,-46.562341521640086,sao paulo,SP
3062,-23.54268733028447,-46.59453248320733,sao paulo,SP
3029,-23.53180699056494,-46.61700264308377,sao paulo,SP
3029,-23.53315768166075,-46.61710278518661,sao paulo,SP
3058,-23.54006892207484,-46.59345022487023,sao paulo,SP
3058,-23.540147025535216,-46.58926350721337,sao paulo,SP
3058,-23.53939015598129,-46.59351308381903,sao paulo,SP
3025,-23.53264352983439,-46.60854007660566,sao paulo,SP
3088,-23.52598754158326,-46.56207954119767,sao paulo,SP
3071,-23.53434926478729,-46.56154451304173,sao paulo,SP
3025,-23.533022839575302,-46.60763387913322,são paulo,SP
3062,-23.54063405190716,-46.588046500692485,sao paulo,SP
3031,-23.52833381848348,-46.61941011172019,sao paulo,SP
3062,-23.541202162646403,-46.59023087093889,são paulo,SP
3071,-23.53414315543304,-46.56095378711988,sao paulo,SP
3031,-23.52851381848348,-46.61947213725541,sao paulo,SP
3031,-23.53307623726908,-46.61826949423456,sao paulo,SP
3165,-23.56190256174625,-46.58015179808413,sao paulo,SP
3165,-23.561802095061942,-46.58115188588945,sao paulo,SP
3165,-23.56192056174625,-46.57998979808414,sao paulo,SP
3127,-23.57744523619365,-46.58928864723873,sao paulo,SP
3185,-23.56351781487679,-46.584379697472464,sao paulo,SP
3127,-23.57744523619365,-46.58928864723873,sao paulo,SP
3185,-23.562698098489943,-46.58464275707943,sao paulo,SP
3127,-23.57976966320297,-46.58938844193136,sao paulo,SP
3138,-23.58759692255761,-46.58181527338564,sao paulo,SP
3141,-23.590022776821183,-46.57065833812266,sao paulo,SP
3185,-23.56466711157595,-46.58065364501704,sao paulo,SP
3187,-23.566230979700467,-46.58020347785505,sao paulo,SP
3138,-23.587365039125224,-46.58072613711118,sao paulo,SP
3126,-23.58067325143878,-46.591568341608856,sao paulo,SP
3138,-23.587527059120525,-46.57937869386578,são paulo,SP
3187,-23.56625438634395,-46.58008932066862,sao paulo,SP
3187,-23.56400465306712,-46.5790267821282,sao paulo,SP
3126,-23.577426579815427,-46.59312473736251,são paulo,SP
3126,-23.58143389148247,-46.58625352039934,sao paulo,SP
3141,-23.587927092705826,-46.57226675465975,sao paulo,SP
3141,-23.58907794087947,-46.57914758021235,sao paulo,SP
3275,-23.58620844962204,-46.53589144310119,sao paulo,SP
3275,-23.576993758814687,-46.55237445100703,sao paulo,SP
3275,-23.587352685267437,-46.53320166333889,sao paulo,SP
3204,-23.59798552039933,-46.55547278711988,sao paulo,SP
3204,-23.59608602775692,-46.56138963197528,sao paulo,SP
3204,-23.59457844962204,-46.56208299861501,sao paulo,SP
3386,-23.584168436997302,-46.53066136149352,são paulo,SP
3333,-23.556849999163276,-46.56941527477062,são paulo,SP
3386,-23.58052065889549,-46.52670031057763,sao paulo,SP
3334,-23.554597380692613,-46.57370400298258,sao paulo,SP
3334,-23.55410987039064,-46.57148809380234,sao paulo,SP
3334,-23.55315217262972,-46.57025186081134,sao paulo,SP
3378,-23.575139177299555,-46.54103782670819,sao paulo,SP
3333,-23.55606192783773,-46.56847065168213,sao paulo,SP
3333,-23.55791939578164,-46.56736024132953,sao paulo,SP
3378,-23.57179489148246,-46.54188892131685,sao paulo,SP
3378,-23.57135185873388,-46.53936786303304,sao paulo,SP
3386,-23.58178886288882,-46.52769306119799,sao paulo,SP
3426,-23.554079433810344,-46.53324185942636,sao paulo,SP
3470,-23.57282057729816,-46.52329640383172,sao paulo,SP
3470,-23.57030924202203,-46.52414544240867,sao paulo,SP
3470,-23.570088446100872,-46.523898539521305,são paulo,SP
3426,-23.549508764643058,-46.53639808881068,sao paulo,SP
3426,-23.55252869969415,-46.53807658312655,sao paulo,SP
3431,-23.554133203993324,-46.53048959908248,sao paulo,SP
3471,-23.56625832001269,-46.51841724632121,sao paulo,SP
3471,-23.56507229944942,-46.52057891909824,são paulo,SP
3471,-23.56734673327946,-46.5177451851232,são paulo,SP
3431,-23.548066710802654,-46.54405460505509,sao paulo,SP
3431,-23.548066710802654,-46.54405460505509,são paulo,SP
3513,-23.533151950603,-46.52395517943906,sao paulo,SP
3564,-23.53321650340715,-46.50046729003948,sao paulo,SP
3573,-23.56168119891244,-46.50627110555333,sao paulo,SP
3504,-23.53877907744238,-46.53648566833056,sao paulo,SP
3562,-23.54478975206393,-46.495489292925285,são paulo,SP
3513,-23.535365196779964,-46.52138196627046,sao paulo,SP
3504,-23.533697346932883,-46.53920421342839,sao paulo,SP
3564,-23.533660665560596,-46.49921086886143,sao paulo,SP
3513,-23.54207120206009,-46.52194776034388,sao paulo,SP
3573,-23.56168119891244,-46.50627110555333,sao paulo,SP
3573,-23.55714959755326,-46.51125656771888,sao paulo,SP
3504,-23.53997990230251,-46.53749137898899,sao paulo,SP
3562,-23.54585052178431,-46.497269823619376,sao paulo,SP
3562,-23.544756733827725,-46.49958107937562,sao paulo,SP
3564,-23.53532847377228,-46.4966793805182,são paulo,SP
3685,-23.52377256527157,-46.47524063467857,sao paulo,SP
3685,-23.52601976019966,-46.47800945697964,sao paulo,SP
3685,-23.52562171717929,-46.47746466388714,são paulo,SP
3669,-23.53270178351319,-46.4896742164868,são paulo,SP
3647,-23.530828892867447,-46.527533900773285,sao paulo,SP
3647,-23.522394132667785,-46.52778062476192,sao paulo,SP
3660,-23.523945619221767,-46.50583600788512,sao paulo,SP
3669,-23.533925595331567,-46.49119206217893,são paulo,SP
3605,-23.521211518177623,-46.54688421495761,sao paulo,SP
3669,-23.53297979926397,-46.4931612284197,sao paulo,SP
3660,-23.522791618431068,-46.50960634081533,sao paulo,SP
3647,-23.52850496502971,-46.52799220858096,sao paulo,SP
3667,-23.53204714071786,-46.49681439647412,sao paulo,SP
3605,-23.52100165751052,-46.54938005966879,sao paulo,SP
3660,-23.521230890645743,-46.50686842284608,sao paulo,SP
3605,-23.52351502553521,-46.55174994601536,sao paulo,SP
3667,-23.531336507357587,-46.49671778504239,sao paulo,SP
3667,-23.532328030567403,-46.4954801838287,sao paulo,SP
3707,-23.506898050233723,-46.542727702608346,sao paulo,SP
3733,-23.50914521065843,-46.53066228518663,sao paulo,SP
3733,-23.510962445467104,-46.52960419900165,sao paulo,SP
3707,-23.506364994018043,-46.54256882171445,sao paulo,SP
3707,-23.50613071004874,-46.54290707287786,sao paulo,SP
3733,-23.508761898695823,-46.53066429739164,sao paulo,SP
3702,-23.51674732944774,-46.54818243075192,sao paulo,SP
3702,-23.51633441909516,-46.54665246725141,sao paulo,SP
3702,-23.515732288649076,-46.54774040896759,sao paulo,SP
3880,-23.50869470774424,-46.48672956633388,sao paulo,SP
3821,-23.49517247515727,-46.50119464071786,são paulo,SP
3872,-23.512538179294825,-46.50108112461768,sao paulo,SP
3821,-23.52394224785041,-46.41349357562471,são paulo,SP
3821,-23.49220499999999,-46.5051465,sao paulo,SP
3880,-23.50850886150384,-46.485872413266776,sao paulo,SP
3809,-23.489345713572614,-46.47738070858095,sao paulo,SP
3813,-23.48668357540144,-46.46746268716547,sao paulo,SP
3813,-23.48228440893561,-46.4718655016508,sao paulo,SP
3813,-23.48606942365521,-46.46871934795597,sao paulo,SP
3809,-23.49157504163538,-46.4776447636621,sao paulo,SP
3872,-23.51253401672528,-46.501049539944844,sao paulo,SP
3880,-23.507701535748037,-46.48311768165533,sao paulo,SP
3809,-23.49190546433722,-46.47792227546311,sao paulo,SP
3872,-23.5123069977783,-46.50033379961334,são paulo,SP
3937,-23.58790062753188,-46.501829952680446,são paulo,SP
3937,-23.587179999999933,-46.49958999999996,sao paulo,SP
3933,-23.58343069747245,-46.50203424424373,sao paulo,SP
3933,-23.58227059544425,-46.50092808411639,sao paulo,SP
3933,-23.58416601617243,-46.49655369856307,sao paulo,SP
3937,-23.583472270615683,-46.49983845406544,são paulo,SP
4042,-23.602707503462444,-46.64264399999999,sao paulo,SP
4001,-23.57230126005544,-46.65200020136758,sao paulo,SP
4015,-23.58705433389114,-46.64555835443469,sao paulo,SP
4022,-23.593023,-46.646572500000005,sao paulo,SP
4015,-23.58662883014023,-46.64243060352587,sao paulo,SP
4045,-23.61763890592578,-46.6389807441141,sao paulo,SP
4015,-23.58801402331352,-46.64653985789715,são paulo,SP
4010,-23.58335776464306,-46.637907987794975,sao paulo,SP
4045,-23.6278331619672,-46.64357190790388,sao paulo,SP
4010,-23.587718479600667,-46.63558962906108,sao paulo,SP
4001,-23.57105054232788,-46.650781802383314,sao paulo,SP
4042,-23.602814496537544,-46.63751400000001,sao paulo,SP
4045,-23.61763890592578,-46.6389807441141,sao paulo,SP
4001,-23.573280601554647,-46.6528753077852,sao paulo,SP
4087,-23.609026190856948,-46.65965657991232,sao paulo,SP
4042,-23.602692510675805,-46.644133332361946,sao paulo,SP
4008,-23.581106936724524,-46.65149797183904,são paulo,SP
4022,-23.593023,-46.646572500000005,sao paulo,SP
4010,-23.585809473772287,-46.63654474493623,são paulo,SP
4087,-23.612622768798005,-46.66316442881868,sao paulo,SP
4008,-23.581000236741914,-46.65073297752319,sao paulo,SP
4087,-23.610874065497168,-46.66151068166074,sao paulo,SP
4022,-23.59372885917,-46.65150201627552,sao paulo,SP
4008,-23.57992666971553,-46.65219685622371,sao paulo,SP
4075,-23.602705281435725,-46.65748758756995,sao paulo,SP
4075,-23.602153766864763,-46.6592116434878,sao paulo,SP
4075,-23.60458020483004,-46.65519012031853,sao paulo,SP
4112,-23.58742684347044,-46.62893070898499,sao paulo,SP
4145,-23.61565055037796,-46.63205088481735,sao paulo,SP
4119,-23.600995072162263,-46.63496187621901,são paulo,SP
4122,-23.603187216486816,-46.62096322009347,sao paulo,SP
4142,-23.611654194010004,-46.63258761587511,sao paulo,SP
4119,-23.600995072162263,-46.63496187621901,sao paulo,SP
4145,-23.615622706838767,-46.632202231480434,sao paulo,SP
4142,-23.61143141548848,-46.6300445342778,sao paulo,SP
4119,-23.598684251457087,-46.63483148167814,sao paulo,SP
4195,-23.657250175378767,-46.61075944811122,sao paulo,SP
4142,-23.612941645017035,-46.61944483389114,são paulo,SP
4112,-23.58456003497028,-46.62772172690283,sao paulo,SP
4195,-23.65712806103015,-46.61301067789949,são paulo,SP
4195,-23.657520798124946,-46.61135961952412,sao paulo,SP
4102,-23.59272363197529,-46.6315844403312,sao paulo,SP
4145,-23.61639657591317,-46.6311025269202,sao paulo,SP
4171,-23.632235999999992,-46.61515349999999,sao paulo,SP
4160,-23.62358155176294,-46.61056007369148,sao paulo,SP
4112,-23.58550858508811,-46.629898833898416,sao paulo,SP
4171,-23.63417637468981,-46.61403233971952,sao paulo,SP
4160,-23.62556238995326,-46.61300045184374,sao paulo,SP
4122,-23.60403426307445,-46.62115696725138,sao paulo,SP
4102,-23.593477829345726,-46.6300893712196,sao paulo,SP
4160,-23.625777499307517,-46.610530873304825,sao paulo,SP
4102,-23.59032952255033,-46.63175129640077,sao paulo,SP
4171,-23.63886805137168,-46.61156548850308,sao paulo,SP
4122,-23.603432081597337,-46.62101180780767,sao paulo,SP
4205,-23.58045999999996,-46.60592999999994,são paulo,SP
4243,-23.626269,-46.586534475523,sao paulo,SP
4273,-23.612052666446743,-46.60783466642034,sao paulo,SP
4222,-23.60221982653356,-46.58613386955392,sao paulo,SP
4243,-23.624703752404614,-46.586391181642696,sao paulo,SP
4205,-23.58487054010618,-46.60556036900565,sao paulo,SP
4243,-23.62330540161001,-46.585927901610006,sao paulo,SP
4205,-23.58591915015292,-46.60543165652955,são paulo,SP
4273,-23.612052666446743,-46.60783466642034,sao paulo,SP
4273,-23.60068163336027,-46.61544268942237,sao paulo,SP
4230,-23.601843679000368,-46.60023440606268,sao paulo,SP
4222,-23.602580329447747,-46.58582375728548,sao paulo,SP
4222,-23.5937411873449,-46.59333247599397,sao paulo,SP
4265,-23.58667354731954,-46.61242320483004,são paulo,SP
4230,-23.608686855675455,-46.58153270566676,sao paulo,SP
4248,-23.61411790980433,-46.60034800222169,sao paulo,SP
4265,-23.5869802640594,-46.61441384480889,sao paulo,SP
4248,-23.610383925040264,-46.59642958219339,sao paulo,SP
4230,-23.602221453167218,-46.60053596263447,sao paulo,SP
4248,-23.61289225859717,-46.59614768029763,sao paulo,SP
4265,-23.58848863474524,-46.61640649624909,sao paulo,SP
4302,-23.621426340267785,-46.637372330976966,sao paulo,SP
4367,-23.65250284762537,-46.66809535567546,são paulo,SP
4302,-23.620598612816707,-46.63883948834322,sao paulo,SP
4302,-23.62182852178432,-46.636468155981305,sao paulo,SP
4367,-23.65043461754857,-46.66830299027648,são paulo,SP
4367,-23.6520709753096,-46.66675729506972,sao paulo,SP
4378,-23.646246311207523,-46.66349868836885,sao paulo,SP
4378,-23.64924156841137,-46.66149025714124,sao paulo,SP
4378,-23.646799612052487,-46.66296102611653,são paulo,SP
4474,-23.53092205635057,-46.555643089243375,sao paulo,SP
4403,-23.667843855675457,-46.66038973120199,sao paulo,SP
